id,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
5Zakbz4Vd78HyOsys406rF,punk,0.188,0.952,-4.499,0.201,0.00138,0.000856,0.152,155.973
6C5ZFrhH3Z3fDBBYyflIT1,punk,0.463,0.857,-3.063,0.0632,0.0506,0.0,0.856,111.647
20HN071MFn8aRkvDXvAYiO,punk,0.343,0.692,-3.926,0.0355,0.00218,0.0,0.153,174.07
1BmY3l1iCqEgQ6vTlzKYgK,punk,0.467,0.883,-3.679,0.106,0.000321,0.000152,0.309,122.252
0F62FldUtsnSLz26VpajXW,punk,0.766,0.454,-10.561,0.109,0.968,0.0,0.78,123.443
7CR4zGnfF0Mt35dfKs7NVj,punk,0.251,0.987,-6.828,0.0917,6.67e-05,0.328,0.227,103.156
3VoJ3L7O5eqgjmyDPBrjzC,punk,0.468,0.927,-7.963,0.0505,0.000378,0.0267,0.538,119.749
1Yv6swNxKVjKZkALqp9gJD,punk,0.362,0.994,-6.365,0.105,0.000199,0.33,0.121,98.62
4lxjpsDIbyDhC7zRw3OZ0t,punk,0.343,0.988,-6.602,0.124,0.00236,0.0,0.203,118.916
110VZduGsBzmLtfzammE6p,punk,0.466,0.886,-7.567,0.0934,0.00245,0.0,0.273,125.339
5Y55UMIG74RMn98rphVmHI,punk,0.312,0.942,-6.314,0.123,0.00313,0.0,0.504,95.299
6TfebzGz8hkc9H8nMCNfYV,punk,0.43,0.906,-6.91,0.183,0.0224,0.0,0.226,145.737
5EHZYKXXmLmWieDjturY7s,punk,0.211,0.98,-5.824,0.22,0.0022,0.0,0.298,185.415
2SjP9IldcY0bOdsjPPm6ew,punk,0.393,0.906,-6.894,0.0503,0.00233,2.19e-06,0.459,116.798
0uwM67BScty5fvQLUZneX5,punk,0.322,0.914,-6.99,0.0484,0.00102,2.87e-05,0.583,113.717
1rDJIKiabJGtDtT8y72aTr,punk,0.366,0.324,-10.056,0.0312,0.515,0.0,0.0704,147.518
5dTHtzHFPyi8TlTtzoz1J9,punk,0.356,0.96,-3.487,0.104,0.0142,0.0,0.0857,125.921
0axF06XwNLobcx5z8BVtYw,punk,0.252,0.993,-3.079,0.16,0.0234,0.0,0.118,183.773
1GErReAT0swX36x3O8GyQn,punk,0.372,0.975,-3.949,0.075,0.000133,4.29e-06,0.467,162.967
5bTuwAgYUD5MABOIPH8ZMt,punk,0.387,0.913,-3.761,0.0814,0.00366,0.0,0.674,185.957
7lRlq939cDG4SzWOF4VAnd,punk,0.21,0.94,-3.427,0.123,0.00602,0.0,0.255,179.722
1yKAqZoi8xWGLCf5vajroL,punk,0.202,0.886,-3.805,0.0816,0.0286,0.0,0.192,145.781
7HKfrU3iuEFrKxTAfVznrG,punk,0.494,0.971,-3.868,0.0546,0.000389,4.45e-05,0.185,125.019
4vpaz6338VqJIeJHq6z2mU,punk,0.502,0.0753,-22.703,0.0322,0.942,0.314,0.0509,132.827
0BpKPyXhWsTaWkgXeOd1Sn,punk,0.486,0.977,-3.463,0.0603,0.00237,0.0,0.413,103.501
262RJtiqytpugV1UvDicN9,punk,0.422,0.946,-3.145,0.0651,0.000181,0.0,0.262,127.03
4fGIqy3bvjX0jz1SJHqjjo,punk,0.353,0.953,-3.635,0.0515,0.000129,0.0,0.48,105.236
2cViIXIe8Pbd1sOJExMJlK,punk,0.548,0.888,-4.861,0.0362,0.000902,0.00172,0.655,115.993
6gLn8QhAYL4dEwdpVjfCPl,punk,0.253,0.887,-4.635,0.0578,0.00114,2.99e-06,0.274,115.522
0ehcL7EsiSy1mpgOk3EFg8,punk,0.311,0.733,-18.015,0.0436,0.888,0.95,0.454,115.663
5gNVTfD1L6QrPgOf0wFo0q,punk,0.383,0.946,-8.122,0.0789,0.000328,1.13e-06,0.534,108.591
7J4uwuiyWB7BqIcyNdcVRl,punk,0.327,0.963,-8.871,0.174,0.0118,0.0,0.199,98.416
08VsSDNBuAOwGu8tkpJlSU,punk,0.306,0.94,-6.475,0.119,0.000665,0.0,0.357,127.331
46mPWQpvSFkXrr5nWoWW74,punk,0.271,0.931,-6.81,0.0785,0.00099,0.0,0.382,142.407
51VwpPzxUd6g94iELptagU,punk,0.291,0.976,-6.443,0.09,0.000162,8.29e-06,0.276,112.225
3VqJUdav5hRAEAvppYIVnT,punk,0.351,0.944,-6.51,0.148,0.000811,0.0,0.462,122.58
2aHqdN4K9naX3oBuUxp6zf,punk,0.408,0.674,-8.882,0.0297,0.000821,0.0,0.422,128.974
1mWMGKUaL7EyYIIveqlKC0,punk,0.278,0.936,-5.986,0.107,0.000401,0.0,0.34,119.088
0Unc6GaK4h3RXmUbUAvtdc,punk,0.288,0.933,-6.947,0.0968,0.000971,0.0,0.497,98.918
16Fp67kTFhH0XK5Cl6Oz7r,punk,0.38,0.797,-9.091,0.057,0.00184,1.42e-05,0.206,118.64
3h78ZeNO8FE9bWZbXvwfYu,punk,0.317,0.709,-18.068,0.0393,0.875,0.975,0.422,115.26
4XnDhqlK4QhbaV3P4aKMhB,punk,0.327,0.938,-8.181,0.0894,0.000357,0.0,0.556,108.282
6cN0EJeBi6qRmzIFAArj5A,punk,0.332,0.952,-8.853,0.139,0.00957,0.0,0.219,98.249
7wjx99xcjRSvr9PzU0Zsbh,punk,0.308,0.941,-6.484,0.118,0.000586,0.0,0.406,124.901
0cxDE1dV6FiSUmDNtQXKtS,punk,0.274,0.939,-6.856,0.0862,0.000869,0.0,0.298,142.398
6M5uYVn81zkC7tQHKP1NVp,punk,0.304,0.976,-6.444,0.0833,0.000215,5.74e-06,0.289,112.228
29tqVvkkxEJ9LpbteCcGRc,punk,0.34,0.943,-6.509,0.131,0.000768,0.0,0.475,122.869
2nRSV8sn4XPbZdXRBZ7ZKd,punk,0.417,0.679,-8.911,0.0318,0.000954,0.0,0.396,122.339
2nBUVzrvW06F8vD61XMFVv,punk,0.278,0.936,-5.995,0.106,0.000509,0.0,0.401,118.978
4icUJIS6OrGgRDau1Cm0D7,punk,0.284,0.939,-6.924,0.0907,0.000824,0.0,0.473,98.665
2ivWAMF2FHkCM8OcPjJ4Cp,punk,0.382,0.791,-9.062,0.0596,0.0017,2.11e-05,0.232,119.507
6Pif6RkFoYzLygdqktus4Q,punk,0.363,0.67,-6.652,0.0552,0.000582,0.548,0.198,150.15
3JA1WDx1IGeJmGrWx6TUFy,punk,0.503,0.902,-2.215,0.0704,0.00479,2.94e-06,0.384,160.105
4cV6AAuBKBjjzLkFLdO6E6,punk,0.501,0.902,-2.215,0.0746,0.00479,2.94e-06,0.383,160.126
2wyxIeuSGkTpW8sVv8Z123,punk,0.518,0.772,-5.124,0.023,0.0088,0.000421,0.499,100.137
6NDaxwtVhUHg49bTc99l2S,punk,0.491,0.927,-3.863,0.0559,0.000234,0.12,0.241,137.023
5HLVrG3xcuAQVwB65hI1GU,punk,0.534,0.902,-3.008,0.0634,0.0001,0.00362,0.335,129.968
2I4dgdRRupMhZCusqTsp8W,punk,0.4,0.979,-3.99,0.145,9.86e-05,0.328,0.538,158.953
2Yi6aqwX2e0JQ9bTNUGfRT,punk,0.379,0.978,-4.275,0.227,0.00076,0.0552,0.379,166.206
6VtcgrVYo2xfygcWAfRpd1,punk,0.447,0.781,-4.801,0.0314,0.0047,3.4e-05,0.102,96.004
3HyDpKAuR3e4l6QB7hSB2l,punk,0.407,0.459,-4.837,0.0263,0.0455,2.98e-05,0.113,75.016
4VwvwlbNZavsDkRdIKFGBi,punk,0.513,0.953,-5.053,0.0851,0.00797,0.0,0.695,171.998
6GHAAp25FcGdaHgAn8rTif,punk,0.539,0.857,-4.489,0.0562,0.00279,0.0,0.605,154.971
5RBM0pP9EE2azF3okstJIt,punk,0.513,0.892,-4.067,0.0836,0.082,0.0,0.469,150.065
39n1y2JqVOPIdfUeLqzgfl,punk,0.497,0.923,-3.04,0.11,0.00627,0.0,0.545,155.11
5vGtrfeMjb03aDHGDaIakG,punk,0.439,0.941,-3.034,0.211,0.0497,0.0,0.607,170.149
7Cvs8SemDG8Yok8B9GGjW9,punk,0.35,0.966,-2.029,0.0942,0.000177,3.95e-05,0.135,184.887
2HtE3mNbcdJNxEsXuUK59X,punk,0.602,0.895,-5.073,0.055,0.00124,0.0,0.388,95.034
207xJdEW3KQZbkLqgl5b7G,punk,0.509,0.878,-4.787,0.131,0.0174,0.0,0.298,144.966
